method,dataset,sequence,frames,MPE_m,MedPE_m,MOE_deg,MedOE_deg,recall@10m,recall@9m,recall@8m,recall@7m,recall@6m,recall@5m,recall@4m,recall@3m,recall@2m,recall@1m
HypLiLoc,NCLT,2012-02-12,25546,1.7,1.02,3.37,1.98,98.67,98.04,97.58,97.15,96.61,95.72,93.91,89.86,79.58,49.1
HypLiLoc,NCLT,2012-02-19,26543,1.58,0.93,2.47,1.76,99.33,99.09,98.77,98.13,97.1,96.18,94.6,91.87,83.97,53.95
HypLiLoc,NCLT,2012-03-31,26205,1.47,1.0,2.72,1.79,99.65,99.51,99.31,98.86,98.07,97.12,95.44,92.17,82.66,50.3
HypLiLoc,NCLT,2012-05-26,26240,2.21,1.11,3.33,1.95,97.08,96.65,96.16,95.51,94.62,93.15,90.56,85.21,74.14,45.01
FlashMix,Oxford,15-13-06-37,36109,3.43,2.73,1.93,1.6,98.49,98.33,98.08,97.7,96.57,92.9,82.32,60.35,19.99,1.5
FlashMix,Oxford,17-13-26-39,42778,3.87,3.28,1.93,1.68,98.95,98.64,97.76,96.18,93.52,84.52,71.02,38.26,7.99,0.36
FlashMix,Oxford,17-14-03-00,43705,4.25,3.5,2.29,1.6,98.27,98.09,97.65,96.72,93.85,85.79,63.27,37.88,17.39,2.82
FlashMix,Oxford,18-14-14-42,37109,3.78,2.24,1.94,1.57,99.04,98.96,98.78,98.22,96.24,93.13,86.88,73.1,40.03,7.23
FlashMix,QEOxford,15-13-06-37,36109,2.06,1.35,1.9,1.5,98.88,98.76,98.57,98.32,97.85,96.89,93.63,86.74,69.22,31.09
FlashMix,QEOxford,17-13-26-39,42778,2.09,1.37,1.89,1.6,99.46,99.38,99.25,98.99,98.45,97.26,95.08,88.8,70.18,29.11
FlashMix,QEOxford,17-14-03-00,43705,2.63,1.31,2.42,1.65,98.49,98.35,98.19,97.89,97.11,95.86,93.92,88.71,71.66,30.68
FlashMix,QEOxford,18-14-14-42,37109,2.41,1.28,1.92,1.54,99.35,99.29,99.22,99.13,98.94,98.49,96.85,91.68,74.16,30.71
FlashMix,NCLT,2012-02-12,25546,2.54,1.16,4.59,2.79,98.1,97.65,97.06,96.39,95.57,94.4,92.26,87.63,75.7,42.47
FlashMix,NCLT,2012-02-19,26543,1.82,1.01,3.52,2.56,98.12,97.93,97.66,97.34,96.84,96.12,94.56,91.42,82.58,49.6
FlashMix,NCLT,2012-03-31,26205,1.55,1.04,4.26,2.69,99.01,98.88,98.69,98.47,98.15,97.49,96.06,92.57,82.26,47.91
FlashMix,NCLT,2012-05-26,26240,6.1,1.19,5.5,2.92,96.54,96.27,95.91,95.34,94.5,93.11,90.61,85.74,73.81,41.23
DiffLoc,Oxford,15-13-06-37,36109,3.58,2.96,0.82,0.61,97.75,97.3,96.6,95.38,93.32,89.13,77.84,51.51,18.52,2.56
DiffLoc,Oxford,17-13-26-39,42778,3.76,3.41,0.71,0.58,99.17,98.56,97.71,95.82,90.16,78.79,61.78,39.56,11.46,1.39
DiffLoc,Oxford,17-14-03-00,43705,4.13,3.96,0.67,0.56,98.57,98.04,97.1,94.97,88.48,73.61,51.03,28.66,10.8,1.1
DiffLoc,Oxford,18-14-14-42,37109,2.88,2.65,0.62,0.51,99.38,99.04,98.42,97.32,95.61,92.46,85.68,63.05,26.55,5.7
DiffLoc,QEOxford,15-13-06-37,36109,2.04,1.46,1.04,0.72,98.46,98.35,98.08,97.71,96.96,95.34,92.98,88.07,70.67,28.39
DiffLoc,QEOxford,17-13-26-39,42778,1.93,1.53,0.79,0.69,99.36,99.18,98.9,98.43,97.63,96.31,93.36,85.01,66.62,26.01
DiffLoc,QEOxford,17-14-03-00,43705,2.06,1.58,0.83,0.7,98.87,98.56,98.13,97.55,96.79,94.97,90.68,83.21,64.73,24.66
DiffLoc,QEOxford,18-14-14-42,37109,1.57,1.34,0.83,0.73,99.84,99.81,99.73,99.59,99.29,98.53,97.19,93.12,75.15,33.97
DiffLoc,NCLT,2012-02-12,25546,1.0,0.74,2.48,1.98,99.82,99.39,98.94,98.81,98.66,98.45,98.05,97.0,93.03,67.29
DiffLoc,NCLT,2012-02-19,26543,0.94,0.71,2.23,1.81,99.98,99.97,99.95,99.87,99.72,98.97,98.07,96.74,92.53,69.6
DiffLoc,NCLT,2012-03-31,26205,0.99,0.79,2.35,1.87,99.98,99.97,99.95,99.9,99.82,99.66,99.24,97.54,92.49,64.46
DiffLoc,NCLT,2012-05-26,26240,1.37,0.83,2.48,1.92,98.76,98.7,98.65,98.54,98.16,97.34,95.84,93.03,85.14,59.47
SGLoc,Oxford,15-13-06-37,36109,3.01,2.48,1.91,1.39,99.03,98.87,98.65,98.3,97.49,95.62,90.19,69.35,30.41,2.88
SGLoc,Oxford,17-13-26-39,42778,4.07,3.11,2.07,1.43,99.28,99.0,98.12,96.23,92.14,85.35,73.44,46.68,18.44,2.19
SGLoc,Oxford,17-14-03-00,43705,3.38,3.33,1.96,1.51,99.58,99.46,99.21,98.54,96.08,88.52,67.56,40.69,20.72,4.81
SGLoc,Oxford,18-14-14-42,37109,2.12,1.82,1.66,1.36,99.89,99.84,99.75,99.31,97.84,95.58,90.8,82.18,56.52,17.16
SGLoc,QEOxford,15-13-06-37,36109,1.81,1.07,1.69,1.25,99.17,99.01,98.84,98.62,98.32,97.85,96.69,93.37,84.85,44.93
SGLoc,QEOxford,17-13-26-39,42778,1.91,1.21,1.76,1.21,99.4,99.32,99.21,99.04,98.79,98.38,97.52,94.86,82.21,38.81
SGLoc,QEOxford,17-14-03-00,43705,1.33,1.04,1.59,1.19,99.64,99.54,99.42,99.22,98.89,98.43,97.49,95.19,86.16,47.53
SGLoc,QEOxford,18-14-14-42,37109,1.2,0.98,1.4,1.17,99.91,99.88,99.85,99.77,99.62,99.37,98.61,96.08,87.65,50.96
SGLoc,NCLT,2012-02-12,25546,1.2,0.81,3.09,2.25,99.55,99.05,98.7,98.41,98.09,97.71,97.04,95.48,90.02,62.85
SGLoc,NCLT,2012-02-19,26543,1.21,0.78,3.06,2.16,99.6,99.45,99.24,98.9,98.42,97.95,97.19,95.72,90.63,65.0
SGLoc,NCLT,2012-03-31,26205,1.12,0.82,3.29,2.22,99.66,99.56,99.47,99.31,99.09,98.61,97.83,96.05,90.45,62.51
SGLoc,NCLT,2012-05-26,26240,3.48,1.02,4.43,2.4,98.65,98.46,98.18,97.74,96.99,95.93,94.21,90.95,82.05,49.09
LiSA,Oxford,15-13-06-37,36109,2.36,2.19,1.35,1.07,99.47,99.39,99.27,99.06,98.41,96.85,93.9,80.18,42.23,7.6
LiSA,Oxford,17-13-26-39,42778,3.52,2.89,1.52,1.13,99.53,99.46,99.16,98.11,96.13,90.12,80.6,54.12,19.3,1.12
LiSA,Oxford,17-14-03-00,43705,3.09,3.07,1.44,1.14,99.78,99.72,99.64,99.49,98.2,92.99,76.85,48.42,23.47,3.43
LiSA,Oxford,18-14-14-42,37109,1.96,1.62,1.31,1.08,99.96,99.96,99.94,99.43,98.31,95.9,91.87,86.29,63.9,18.54
LiSA,QEOxford,15-13-06-37,36109,1.0,0.69,1.14,0.95,99.42,99.37,99.3,99.21,99.07,98.87,98.28,96.59,92.01,70.55
LiSA,QEOxford,17-13-26-39,42778,1.24,0.74,1.23,0.96,99.69,99.64,99.6,99.57,99.51,99.43,99.22,98.79,95.24,68.96
LiSA,QEOxford,17-14-03-00,43705,0.85,0.69,1.15,0.95,99.94,99.92,99.89,99.86,99.78,99.67,99.46,98.89,95.68,72.49
LiSA,QEOxford,18-14-14-42,37109,0.86,0.71,1.11,1.0,100.0,100.0,100.0,99.99,99.96,99.94,99.71,98.49,94.83,72.52
LiSA,NCLT,2012-02-12,25546,0.98,0.71,2.24,1.84,99.92,99.53,99.04,98.94,98.85,98.73,98.53,97.98,93.66,68.88
LiSA,NCLT,2012-02-19,26543,0.93,0.69,2.11,1.69,99.88,99.82,99.69,99.43,99.17,98.97,98.72,97.89,94.26,70.4
LiSA,NCLT,2012-03-31,26205,0.88,0.71,2.22,1.73,99.93,99.92,99.89,99.82,99.76,99.66,99.41,98.82,95.06,69.85
LiSA,NCLT,2012-05-26,26240,3.12,0.76,2.71,1.75,99.34,99.32,99.28,99.18,99.08,98.87,98.51,97.36,91.76,64.57
RALoc,Oxford,15-13-06-37,36109,3.15,2.77,4.25,3.44,98.95,98.69,98.27,97.37,95.33,90.88,79.99,56.98,26.43,4.25
RALoc,Oxford,17-13-26-39,42778,3.85,3.22,3.98,3.32,99.64,99.46,98.98,97.4,93.01,84.43,71.3,42.73,15.17,1.43
RALoc,Oxford,17-14-03-00,43705,3.32,3.17,3.92,3.38,99.68,99.44,98.89,97.64,94.71,88.0,71.74,45.03,19.21,4.4
RALoc,Oxford,18-14-14-42,37109,2.59,2.22,3.81,3.3,99.78,99.61,99.17,98.07,96.04,91.96,84.7,71.18,42.67,9.48
RALoc,QEOxford,15-13-06-37,36109,1.53,1.41,1.28,1.05,99.58,99.52,99.47,99.4,99.32,99.16,98.53,96.24,82.9,25.17
RALoc,QEOxford,17-13-26-39,42778,1.72,1.4,1.27,0.98,99.82,99.79,99.74,99.69,99.63,99.53,99.25,98.09,82.38,24.82
RALoc,QEOxford,17-14-03-00,43705,1.38,1.3,1.21,1.03,99.99,99.98,99.97,99.96,99.91,99.78,99.51,98.34,87.12,29.04
RALoc,QEOxford,18-14-14-42,37109,1.42,1.32,1.24,1.08,99.99,99.99,99.99,99.98,99.95,99.89,99.63,97.31,84.15,28.59
RALoc,NCLT,2012-02-12,25546,1.62,1.2,4.71,2.48,99.27,98.83,98.39,98.04,97.57,96.72,95.06,91.3,81.22,37.84
